"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.11632314738058,0.923,0.37,0,"0","GIMAP7"
0,2.35374199639022,0.733,0.257,0,"0","SELL"
0,1.50486184226832,0.828,0.375,0,"0","CCR7"
0,1.51341947415715,0.66,0.227,0,"0","CD3D"
0,1.50323390875896,0.702,0.276,0,"0","LTB"
0,1.5469251882924,0.721,0.311,0,"0","LDHB"
0,2.15205321265842,0.584,0.191,0,"0","GIMAP5"
0,2.00548683239085,0.617,0.233,0,"0","GIMAP4"
0,0.974023800045547,0.949,0.783,0,"0","RPL35"
0,0.887173266430556,0.973,0.823,0,"0","RPS5"
0,0.886994007485387,0.967,0.86,0,"0","RPS8"
0,0.875455242223203,0.976,0.87,0,"0","RPL18"
0,1.10249340829097,0.991,0.886,0,"0","RPS15A"
0,1.10735688741792,0.978,0.888,0,"0","RPL31"
0,1.0433641938069,0.986,0.899,0,"0","RPL35A"
0,0.902528985710532,0.98,0.894,0,"0","RPS23"
0,0.906979849493674,0.984,0.904,0,"0","RPL9"
0,0.934606249138644,0.994,0.916,0,"0","RPS27"
0,0.928459107521521,0.986,0.909,0,"0","RPL27A"
0,0.823197444505117,0.983,0.92,0,"0","RPL23A"
0,0.959449114379446,0.977,0.916,0,"0","RPL30"
0,0.790774039762205,0.996,0.937,0,"0","RPL7"
0,0.874716089862444,0.993,0.936,0,"0","RPS15"
0,1.09628061583877,0.994,0.944,0,"0","RPS12"
0,0.861592185715735,0.991,0.942,0,"0","RPL3"
0,1.0848846216647,0.993,0.948,0,"0","RPL34"
0,0.91845617443169,0.992,0.947,0,"0","RPS13"
0,0.829176770106912,0.993,0.951,0,"0","RPS3A"
0,0.968272712861888,0.991,0.954,0,"0","RPLP2"
0,0.87700961582834,0.998,0.965,0,"0","RPS6"
0,0.759620284387673,0.998,0.966,0,"0","RPL18A"
0,0.947475747917419,0.994,0.964,0,"0","RPS27A"
0,0.734843218752996,0.994,0.967,0,"0","RPL19"
0,0.809719412563573,0.992,0.966,0,"0","RPS3"
0,0.844832531793084,0.995,0.97,0,"0","RPS4X"
0,0.944274354792145,0.997,0.973,0,"0","RPL21"
0,1.09044935319379,0.997,0.975,0,"0","RPS14"
0,0.858683270165053,0.996,0.975,0,"0","RPL11"
0,1.11640528296296,0.999,0.978,0,"0","RPS18"
0,0.826544463947998,0.999,0.98,0,"0","RPL13A"
0,1.06419597098518,0.998,0.98,0,"0","RPL32"
0,0.781587231708099,0.998,0.983,0,"0","RPS19"
0,0.739608172553755,0.999,0.989,0,"0","RPS2"
0,0.978781889965135,0.998,0.988,0,"0","RPL13"
0,0.695562234342588,0.996,0.989,0,"0","RPL10"
1.80764746449977e-316,0.991457637437239,0.944,0.516,2.51407609362628e-312,"0","IFI6"
9.02454873971517e-315,0.755220793078046,0.983,0.933,1.25513423871959e-310,"0","RPL26"
1.30102197818661e-306,1.01967943115434,0.901,0.695,1.80946136726193e-302,"0","RPL36"
1.44917437965023e-306,0.908856708183367,0.94,0.79,2.01551172721754e-302,"0","RPS25"
5.09919677664145e-296,0.968901705127369,0.92,0.711,7.09196287695293e-292,"0","TMEM66"
7.54526653100336e-290,0.438382949043596,1,1,1.04939566913195e-285,"0","MALAT1"
1.37781732168973e-276,0.921017257041199,0.95,0.844,1.91626833100608e-272,"0","PABPC1"
2.88440742894309e-275,0.580240241676271,0.999,0.996,4.01163385217404e-271,"0","RPLP1"
1.79959969062472e-264,0.770700403186146,0.969,0.853,2.50288324972086e-260,"0","RPL14"
2.38071306137825e-264,0.876754270454807,0.93,0.731,3.31109572576487e-260,"0","RPL10A"
1.4567301567939e-262,0.530100070751308,0.999,0.998,2.02602030206896e-258,"0","TMSB4X"
6.69501747444001e-250,0.801674977748739,0.943,0.84,9.31143030345117e-246,"0","RPS20"
8.38848989061577e-248,0.879322722539012,0.907,0.781,1.16667117398684e-243,"0","RPL27"
1.19356490695107e-245,1.63632015111838,0.423,0.133,1.66001007258755e-241,"0","TRAT1"
3.10449644672552e-245,0.883886165727367,0.893,0.649,4.31773365810586e-241,"0","RPSA"
1.94763112982489e-242,0.910458658313363,0.879,0.742,2.70876537536046e-238,"0","RPS28"
3.65860534175734e-238,0.693960168920085,0.964,0.936,5.08838830931611e-234,"0","RPL12"
1.05452467438777e-236,0.814930534406069,0.916,0.718,1.46663291713851e-232,"0","RPLP0"
3.46831802982142e-236,2.08205913136098,0.324,0.083,4.82373671587563e-232,"0","SYNE2"
1.0072693624334e-233,0.294681987233837,1,1,1.40091022927237e-229,"0","B2M"
8.3461022940959e-233,0.804305201545907,0.933,0.806,1.16077590706286e-228,"0","RPL24"
1.4110021389504e-229,0.553967980279134,0.998,0.966,1.96242177485221e-225,"0","RPL15"
