"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.35374199639022,0.733,0.257,0,"0","SELL"
0,2.15205321265842,0.584,0.191,0,"0","GIMAP5"
0,5.36373215391951,0.573,0.021,0,"1","CLEC5A"
0,5.30981637422063,0.475,0.02,0,"1","VCAN"
0,7.19616916268667,0.918,0.071,0,"2","CCL8"
0,5.45983736107085,0.31,0.037,0,"2","APOBEC3B"
3.10865038598247e-200,2.45563534607518,0.267,0.06,4.32351095682442e-196,"3","PASK"
4.76331463999944e-303,2.20211503804501,0.448,0.119,6.62481800131123e-299,"3","LCK"
0,5.0253429607849,0.385,0.025,0,"4","LAG3"
0,4.15892127380833,0.455,0.038,0,"4","CD8A"
4.56317222884271e-220,4.80006813851252,0.335,0.05,6.34645993587444e-216,"5","MIR155HG"
0,4.23818809075467,0.473,0.03,0,"5","MS4A1"
1.35135727949762e-263,4.16773562137302,0.27,0.023,1.87946770432529e-259,"6","BLNK"
0,3.83074311118767,0.441,0.034,0,"6","MS4A1"
0,4.63303064480182,0.284,0.016,0,"7","SNHG12"
3.63283238570102e-173,3.90706080681252,0.25,0.03,5.05254328203298e-169,"7","SCML1"
0,6.87109320541276,0.375,0.005,0,"8","KLRC1"
0,6.53515590466673,0.951,0.053,0,"8","GNLY"
0,6.89116181494973,0.374,0.004,0,"9","CH25H"
0,5.09592526154042,0.283,0.009,0,"9","EDN1"
0,4.70096658382346,0.313,0.017,0,"10","SMPDL3A"
0,4.65071117653373,0.832,0.072,0,"10","VMO1"
0,6.83970653996171,0.253,0.003,0,"11","FCER1A"
0,6.50651504425075,0.561,0.01,0,"11","PKIB"
0,6.00493581646251,0.275,0.006,0,"12","FSCN1"
0,5.73542892642196,0.35,0.006,0,"12","CALCRL"
0,7.16715960741938,0.298,0.004,0,"13","TREML1"
0,6.83061355279655,0.369,0.006,0,"13","ACRBP"
0,10.806242348417,0.333,0,0,"14","MYBL2"
0,10.6912783502003,0.306,0,0,"14","CLEC4C"
0,10.8396263845338,0.41,0,0,"15","AHSP"
0,10.5015116168203,0.513,0.001,0,"15","CA1"
