"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",7.75722133371878e-225,5.18979849660468,0.999,0.221,1.07887434309361e-220
"ISG20",6.48442818391748e-211,3.22083157627744,1,0.607,9.01854271819243e-207
"IFIT3",6.45262272749235e-210,6.55386360820914,0.936,0.034,8.97430768939636e-206
"IFI6",6.12210297413086e-203,5.69765171682789,0.93,0.057,8.5146208164212e-199
"IFIT1",2.52333531332308e-174,6.56448300189689,0.832,0.018,3.50945475376974e-170
"MX1",9.41716253486507e-170,4.31248793064362,0.875,0.092,1.30973896534903e-165
"LY6E",4.62210581473863e-157,3.88180187496225,0.859,0.141,6.42842476713849e-153
"PLSCR1",3.98918975951019e-138,3.97863465985515,0.789,0.097,5.54816511752677e-134
"TNFSF10",1.66435294953672e-135,6.72102486584704,0.702,0.017,2.31478208221566e-131
"IRF7",1.23733283957124e-133,3.43940944463402,0.821,0.161,1.72088251327568e-129
"IFIT2",2.6299185264492e-132,6.05235538033864,0.702,0.027,3.65769068658554e-128
"CXCL10",1.96544728285415e-123,8.69481497355839,0.649,0.007,2.73354408099355e-119
"B2M",3.355544482926e-119,0.621320088483587,1,1,4.66689126685349e-115
"UBE2L6",1.06666336280461e-113,2.54124473940385,0.838,0.277,1.48351540498865e-109
"EPSTI1",4.37443788345433e-111,3.65047403498579,0.704,0.087,6.08396820830829e-107
"IFI44L",1.19626684116177e-104,4.19706553933292,0.64,0.05,1.66376792268778e-100
"GBP1",9.38852588916072e-101,3.90103747104656,0.648,0.072,1.30575618066447e-96
"HERC5",2.8410641248082e-96,5.24610364803015,0.564,0.022,3.95135198478325e-92
"PSMB9",3.87370931931981e-96,1.8207023451119,0.907,0.535,5.38755492131e-92
"OAS1",1.79725838823582e-93,4.34903172212694,0.59,0.052,2.49962696635839e-89
"IFI35",9.80911928300853e-89,3.69846088778008,0.597,0.064,1.36425230988083e-84
"IFITM2",6.30680347141044e-81,2.81186268535146,0.672,0.198,8.77150226803764e-77
"SAMD9L",1.04695120532553e-80,3.75816549675606,0.548,0.055,1.45609973636675e-76
"BST2",1.48133152022817e-79,2.25902686207844,0.751,0.282,2.06023587833335e-75
"NT5C3A",6.65074232283124e-77,4.15612253012528,0.514,0.045,9.24985242259369e-73
"MX2",1.13922026779338e-73,4.39499844487559,0.484,0.032,1.58442754844703e-69
"DYNLT1",3.93391053288624e-72,3.06914969641626,0.57,0.109,5.47128276913818e-68
"RSAD2",5.54259477286859e-69,8.23641661471199,0.411,0.002,7.70864081010564e-65
"EIF2AK2",4.281018670628e-63,3.11701119225881,0.518,0.091,5.95404076710942e-59
"SAT1",1.59496420025953e-62,1.9615598821534,0.795,0.431,2.21827620972096e-58
"OASL",5.57906983750604e-61,4.78456353662769,0.39,0.01,7.7593703300034e-57
"IFITM3",3.61674517022016e-59,6.00339143293011,0.38,0.012,5.0301691827422e-55
"GBP4",6.68073301294563e-59,2.23612629303638,0.589,0.168,9.29156347440479e-55
"CMPK2",3.95556792340322e-55,6.25032300810448,0.349,0.005,5.5014038678692e-51
"IFI16",5.24100176561715e-55,2.11939436408573,0.611,0.21,7.28918525562033e-51
"TMSB10",3.00789326504263e-54,1.21904703841225,0.885,0.659,4.18337795302128e-50
"LAP3",8.1884530711098e-54,2.9098688051114,0.49,0.116,1.13885005312995e-49
"MYL12A",3.88521046811432e-52,1.30832632322668,0.839,0.612,5.40355071905339e-48
"SP110",2.40847965977508e-50,2.52972050562134,0.483,0.107,3.34971351081519e-46
"XAF1",3.36796747870869e-50,3.20041208253836,0.381,0.035,4.68416916938804e-46
"PPM1K",9.85508245993317e-48,2.44311814593377,0.479,0.117,1.3706448685275e-43
"SAMD9",1.13583794199897e-47,2.76272950003398,0.433,0.081,1.57972340973216e-43
"DDX58",1.291009606998e-46,3.94049965057153,0.351,0.032,1.79553616141282e-42
"SOCS1",1.89462748739993e-45,2.23067159809429,0.538,0.185,2.63504790947582e-41
"PSME2",3.54529342407522e-43,1.09320746468674,0.86,0.614,4.93079409420382e-39
"COX5A",1.42987072656699e-42,1.86501878185584,0.617,0.312,1.98866420650936e-38
"TRIM22",1.32617982647782e-41,2.84554354701617,0.383,0.065,1.84445090266535e-37
"PSMA2.1",1.56810007608022e-41,1.30489550599074,0.739,0.438,2.18091358581237e-37
"RBCK1",1.84867372927445e-41,2.58016391490552,0.413,0.091,2.5711354226749e-37
"TAP1",1.08025629022261e-40,1.7988455190427,0.551,0.203,1.50242044844161e-36
"EEF1A1",1.53037871560249e-40,-0.844007959688817,0.774,0.923,2.12845071765995e-36
"PARP14",2.12621241992022e-40,2.28131848949411,0.449,0.121,2.95713623362504e-36
"NMI",7.52060689110829e-40,2.17047277212618,0.492,0.171,1.04596600641534e-35
"FBXO6",7.43862387691913e-39,3.90412764470533,0.298,0.025,1.03456380880191e-34
"XRN1",3.64287473683119e-38,3.13715150814241,0.339,0.054,5.06651018398482e-34
"RPL7",4.1936503393875e-38,-0.489103068002152,0.987,0.993,5.83252889202014e-34
"RPL10",1.33510412773811e-37,-0.474834963642,0.999,1,1.85686282085817e-33
"CHST12",5.89169070754023e-37,3.31330468217999,0.326,0.05,8.19416343604695e-33
"GBP2",7.79889944082234e-37,1.52881696648674,0.611,0.299,1.08467093422957e-32
"DRAP1",8.00296132773214e-37,1.55650033449631,0.606,0.295,1.11305186146099e-32
"SUB1",3.25775714303862e-36,1.55181698648041,0.61,0.322,4.53088863453811e-32
"IFI44",3.52761184043509e-36,3.8362014256438,0.283,0.025,4.90620254767712e-32
"WARS",7.8538477052154e-36,2.95095205349463,0.349,0.07,1.09231313884136e-31
"PLAC8",1.07747444477591e-35,3.13263033705867,0.334,0.06,1.49855145779434e-31
"HLA-E",3.34977158055113e-35,0.870630994399736,0.928,0.767,4.65886231423051e-31
"NEXN",1.54791545931757e-34,5.61503816855863,0.239,0.008,2.15284082081888e-30
"OAS2",8.62645179827345e-34,4.46359775754838,0.24,0.01,1.19976691610387e-29
"STAT1",1.18471725574429e-33,2.69892538615044,0.334,0.065,1.64770475928916e-29
"RNF213",3.636957501158e-33,3.1092287487817,0.302,0.047,5.05828049261055e-29
"IFIH1",2.46722344854098e-32,2.60601423443203,0.32,0.057,3.4314143722308e-28
"GBP5",4.73179678232313e-32,4.10268537629709,0.24,0.015,6.58098296485501e-28
"TYMP",5.99873091649445e-32,1.46770722094368,0.591,0.304,8.34303495866049e-28
"GSTP1",2.37504382870158e-31,-1.41673627744232,0.359,0.648,3.30321095695815e-27
"IRF8",7.43858543320635e-31,1.58317119522673,0.584,0.295,1.03455846205034e-26
"MNDA",8.40169316951234e-31,4.17324386183504,0.239,0.018,1.16850748601578e-26
"PSMB8",1.04474402426959e-30,1.21990302469437,0.671,0.403,1.45302998895414e-26
"RPL3",1.04760805495344e-30,-0.440962462761035,0.993,0.997,1.45701328282924e-26
"SELL",2.52580341410907e-30,1.89801475587567,0.419,0.139,3.51288738834289e-26
"RPL6",3.60803951545227e-30,-0.561295021725856,0.924,0.97,5.01806135809102e-26
"TNFSF13B",6.03070093181136e-30,5.19503479625111,0.213,0.008,8.38749885596324e-26
"PSMA4",1.25453058615609e-29,1.17606240160815,0.627,0.366,1.7448011392259e-25
"RPS2",1.81005570510209e-29,-0.379403123936756,1,1,2.51742547465599e-25
"DDX60L",1.04106808777732e-28,3.44450862836036,0.24,0.025,1.4479174964807e-24
"NPC2",1.33047069932685e-28,1.65307388921869,0.497,0.223,1.85041864862378e-24
"CLEC2D",3.12743010755582e-28,1.50854917360041,0.537,0.265,4.34962979358864e-24
"HAPLN3",3.14690011453695e-28,4.32138576824482,0.21,0.012,4.37670867929799e-24
"MT2A",5.86481548954778e-28,2.92733104605631,0.273,0.049,8.15678538286305e-24
"IFITM1",8.97560857610163e-28,4.172641591207,0.21,0.013,1.24832764076421e-23
"OAS3",6.32376448621039e-27,4.85356549705383,0.197,0.01,8.79509164742141e-23
"CXCL11",4.9266175573197e-26,11.166554019945,0.17,0,6.85193969872023e-22
"ID3",1.0223027667342e-25,-1.00806797039129,0.343,0.606,1.42181868797393e-21
"CARD16",1.07489160625676e-25,2.25198466240078,0.315,0.082,1.4949592459819e-21
"RTCB",1.51342818261769e-25,1.79438483792967,0.411,0.164,2.10487591638469e-21
"RPS6",8.04198859459221e-25,-0.309113271164039,0.999,1,1.11847977373588e-20
"HLA-B",1.04669053653374e-24,0.432346967255904,1,1,1.45573719821112e-20
"IFIT5",1.05692644999478e-24,2.93293494953765,0.235,0.037,1.46997330665273e-20
"RPS3A",1.38106144503053e-24,-0.351228149571043,0.991,0.997,1.92078025774847e-20
"NUB1",2.18014201989379e-24,2.22724738298918,0.3,0.079,3.03214152126829e-20
"FTH1",1.06113643486461e-23,-0.865673400998086,0.993,0.995,1.47582855360971e-19
"DNAJA1",1.16317968958386e-23,0.87765098940234,0.706,0.48,1.61775031227323e-19
"RPSA",1.28536071293148e-23,-0.585881602214951,0.859,0.926,1.7876796795451e-19
"PKM",1.29379801791941e-23,-1.16647282396154,0.349,0.592,1.79941428332232e-19
"KIAA0040",2.47283354225106e-23,3.60749951964499,0.198,0.022,3.43921689056278e-19
"FTL",7.72707576177845e-23,-0.544283834499812,0.937,0.982,1.07468169694815e-18
"RPS3",1.06137824511595e-22,-0.359255682918906,0.993,0.998,1.47616486330727e-18
"PARP9",1.08586950671691e-22,2.91143382614757,0.217,0.034,1.51022730994188e-18
"CLIC1",1.42798337044704e-22,0.819191944641151,0.792,0.633,1.98603927161774e-18
"LGALS9",4.09997592662137e-22,3.14969219080732,0.209,0.032,5.702246518745e-18
"C19orf66",7.81150061866014e-22,2.58220170874992,0.239,0.05,1.08642350604325e-17
"HLA-C",1.01585146706945e-21,0.471316167616293,0.983,0.955,1.41284622040019e-17
"PMAIP1",2.75672213378419e-21,1.23890410535093,0.51,0.287,3.83404914366705e-17
"GNG5",4.19338293373565e-21,1.11849648088062,0.54,0.305,5.83215698423955e-17
"PHF11",4.85333345986971e-21,1.81300883280471,0.292,0.086,6.7500161759868e-17
"HNRNPA1",7.22635738166545e-21,-0.816784691044233,0.572,0.767,1.00504178464203e-16
"RABGAP1L",1.28998093484923e-20,2.39293508338696,0.243,0.057,1.79410548418831e-16
"CD38",1.62339575951893e-20,3.74761811913599,0.162,0.012,2.25781882233893e-16
"RPL10A",1.80073345536756e-20,-0.460654889278554,0.926,0.966,2.50446008972521e-16
"ARHGDIB",2.28003764401621e-20,-1.03058241629414,0.379,0.614,3.17107635529774e-16
"SMCHD1",5.62599805362245e-20,1.55790476804064,0.381,0.163,7.8246380929781e-16
