"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","GO:0009615","response to virus","67/181","445/18860",0.150561797752809,15.6883729592153,30.8666602657898,2.26555371036123e-62,5.78622417626259e-59,4.94367667534614e-59,"ISG15/ISG20/IFIT3/IFI6/IFIT1/MX1/PLSCR1/IRF7/IFIT2/CXCL10/IFI44L/GBP1/HERC5/OAS1/IFITM2/BST2/NT5C3A/MX2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/TRIM22/NMI/GBP2/IFI44/OAS2/STAT1/IFIH1/GBP5/DDX60L/NPC2/IFITM1/OAS3/IFIT5/PARP9/LGALS9/PMAIP1/CCL8/IRF1/ADAR/RTP4/DHX58/TREX1/DDX60/PML/STAT2/CASP1/UNC93B1/GBP7/DTX3L/ZBP1/HIF1A/TLR7/ZNFX1/APOBEC3A/SAMHD1/MYD88/TANK/IFI27/TRIM25/IRF2/TRIM21/IRF9/AIM2/TRIM38",67
"GO:0051607","GO:0051607","defense response to virus","61/181","334/18860",0.182634730538922,19.0303371158236,32.7271402074118,8.36454114528778e-62,1.06815190425325e-58,9.12615462851661e-59,"ISG15/ISG20/IFIT3/IFI6/IFIT1/MX1/PLSCR1/IRF7/IFIT2/CXCL10/IFI44L/GBP1/HERC5/OAS1/IFITM2/BST2/NT5C3A/MX2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/TRIM22/GBP2/OAS2/STAT1/IFIH1/GBP5/DDX60L/IFITM1/OAS3/IFIT5/PARP9/PMAIP1/IRF1/ADAR/RTP4/DHX58/TREX1/DDX60/PML/STAT2/CASP1/UNC93B1/GBP7/DTX3L/ZBP1/TLR7/ZNFX1/APOBEC3A/SAMHD1/MYD88/TANK/IFI27/TRIM25/IRF2/TRIM21/IRF9/AIM2/TRIM38",61
"GO:0050792","GO:0050792","regulation of viral process","31/181","141/18860",0.219858156028369,22.908976920967,25.7046762730554,1.15895439961539e-33,9.86656512205906e-31,8.4298683172025e-31,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/DYNLT1/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/STAT1/IFIH1/IFITM1/OAS3/IFIT5/LGALS9/SP100/ADAR/LAMP3/GBP7/ZNFX1/APOBEC3A/TRIM25/TRIM21/STOM/TRIM38",31
"GO:1903900","GO:1903900","regulation of viral life cycle","27/181","115/18860",0.234782608695652,24.4640883977901,24.8445817851312,3.14014841493598e-30,2.00498476293663e-27,1.71303359583218e-27,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/IFIH1/IFITM1/OAS3/IFIT5/LGALS9/ADAR/LAMP3/GBP7/ZNFX1/APOBEC3A/TRIM25/TRIM21/TRIM38",27
"GO:0016032","GO:0016032","viral process","40/181","396/18860",0.101010101010101,10.5251409118812,18.8572306477817,1.76004527079236e-29,8.99031124320737e-27,7.68120809758434e-27,"ISG15/ISG20/IFIT1/MX1/PLSCR1/IRF7/OAS1/IFITM2/BST2/DYNLT1/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/GBP2/OAS2/STAT1/IFIH1/GBP5/IFITM1/OAS3/IFIT5/PARP9/LGALS9/CCL8/SP100/ADAR/CCL2/DEK/LAMP3/GBP7/ZNFX1/APOBEC3A/CHMP5/TRIM25/TRIM21/STOM/PARP10/TRIM38",40
"GO:0048525","GO:0048525","negative regulation of viral process","23/181","76/18860",0.302631578947368,31.533876126781,26.2552708212182,1.01657555586009e-28,4.3272232827778e-26,3.69712478473329e-26,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/STAT1/IFIH1/IFITM1/OAS3/IFIT5/SP100/ZNFX1/APOBEC3A/TRIM21",23
"GO:0019079","GO:0019079","viral genome replication","26/181","117/18860",0.222222222222222,23.1553100061387,23.6631750333345,1.8662240351324e-28,6.80905169389734e-26,5.81756755613452e-26,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/IFIH1/IFITM1/OAS3/IFIT5/CCL8/ADAR/CCL2/DEK/GBP7/ZNFX1/APOBEC3A/TRIM38",26
"GO:0045069","GO:0045069","regulation of viral genome replication","23/181","80/18860",0.2875,29.957182320442,25.5490823840046,3.9407084680393e-28,1.25807117842154e-25,1.07488008608493e-25,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/IFIH1/IFITM1/OAS3/IFIT5/ADAR/GBP7/ZNFX1/APOBEC3A/TRIM38",23
"GO:0045071","GO:0045071","negative regulation of viral genome replication","20/181","50/18860",0.4,41.6795580110497,28.3523222664329,5.50401717127798e-28,1.56191776171599e-25,1.33448275977301e-25,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/OAS2/IFIH1/IFITM1/OAS3/IFIT5/ZNFX1/APOBEC3A",20
"GO:0019058","GO:0019058","viral life cycle","34/181","298/18860",0.114093959731544,11.8884645333531,18.650230143219,7.81082125954343e-27,1.99488374968739e-24,1.70440341800353e-24,"ISG15/ISG20/IFIT1/MX1/PLSCR1/OAS1/IFITM2/BST2/DYNLT1/RSAD2/EIF2AK2/OASL/IFITM3/IFI16/GBP2/OAS2/IFIH1/GBP5/IFITM1/OAS3/IFIT5/LGALS9/CCL8/ADAR/CCL2/DEK/LAMP3/GBP7/ZNFX1/APOBEC3A/CHMP5/TRIM25/TRIM21/TRIM38",34
