"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.23020292221912e-218,1.21545955703325,0.758,0.463,1.15682407859765e-213,"0","Tgfbi"
2.19497739462097e-136,0.782729681120384,0.862,0.668,4.07563402633222e-132,"0","Cxcl12"
8.581289199805e-127,0.695226771519439,0.889,0.694,1.59337377861979e-122,"0","Ebf1"
2.18235029449722e-126,0.792756462542186,0.82,0.678,4.05218802682244e-122,"0","Mdfi"
1.7653752434647e-125,0.851471812752329,0.859,0.715,3.27794875206526e-121,"0","Sfrp1"
1.17168842733681e-109,0.643620098274479,0.921,0.834,2.17559107187899e-105,"0","Maged2"
3.07198409838634e-109,1.63286369138818,0.353,0.16,5.70406007388376e-105,"0","Cygb"
4.68687421866824e-105,0.549656767639213,0.927,0.871,8.70258804922319e-101,"0","Fstl1"
2.26067704709061e-89,0.614380931444832,0.85,0.724,4.19762514103784e-85,"0","Col26a1"
9.09353154798979e-85,0.378441097552133,0.995,0.977,1.68848693783074e-80,"0","Nnat"
2.56631133159084e-82,0.833428063044999,0.597,0.402,4.76512688049788e-78,"0","Ebf2"
3.38273838533877e-80,0.800247704709428,0.58,0.388,6.28106863389703e-76,"0","Bgn"
4.46325465289332e-74,0.68566300785986,0.711,0.554,8.28737123949232e-70,"0","Serpinf1"
6.10052939981916e-74,0.288500367720818,0.997,0.986,1.13274629895842e-69,"0","Marcks"
4.99579242246975e-72,0.74245598262088,0.64,0.475,9.27618737004183e-68,"0","Cdo1"
1.0128613363973e-69,1.0189165416157,0.487,0.316,1.8806809294225e-65,"0","Meox1"
1.08654719783204e-69,0.930636854773525,0.467,0.298,2.01750083693454e-65,"0","Nrp1"
1.1322558907549e-68,0.593507649016251,0.726,0.563,2.1023727379537e-64,"0","Six1"
3.63708271198076e-68,0.47131187465067,0.856,0.786,6.75333517960587e-64,"0","Cdca7"
7.86626709745339e-67,0.29355979364544,0.984,0.958,1.46060847465515e-62,"0","Igfbp4"
6.67561116204191e-64,0.338829667578443,0.987,0.961,1.23952748056794e-59,"0","Mfap2"
8.1415275129646e-58,0.524331777864924,0.811,0.761,1.51171882860727e-53,"0","Spg21"
6.64049315425174e-57,0.466499924663543,0.741,0.554,1.23300676888146e-52,"0","Prrx1"
1.2123032630736e-51,0.390715514029422,0.918,0.864,2.25100469887507e-47,"0","Prrx2"
2.36882557886247e-51,0.276697786345759,0.976,0.978,4.39843533483184e-47,"0","Limd2"
1.20302898105895e-48,0.911378237892374,0.415,0.28,2.23378421203026e-44,"0","Crym"
1.24404438348847e-48,1.00479537423298,0.368,0.233,2.30994161126139e-44,"0","Vcam1"
3.05945371918484e-46,0.606251536203033,0.629,0.536,5.68079366578241e-42,"0","Sesn3"
1.88121263777199e-45,0.486254890979199,0.678,0.52,3.49303562581503e-41,"0","Col9a1"
1.17478762739174e-42,0.273703940580932,0.971,0.968,2.18134566654099e-38,"0","Impdh2"
4.16486842107615e-42,0.589117657865054,0.578,0.452,7.73332768425419e-38,"0","Snai1"
5.8993498605993e-41,0.544583809964587,0.687,0.621,1.09539128211608e-36,"0","Dtl"
8.93499570125916e-41,0.663966379061851,0.525,0.409,1.6590500018098e-36,"0","Pdgfrb"
1.2269927875171e-40,0.528843911933615,0.707,0.65,2.27828020786175e-36,"0","Tsc22d3"
4.32814797782082e-40,0.812433905371431,0.378,0.257,8.0365051652177e-36,"0","Kctd12"
2.00813576552436e-37,1.04881344390167,0.296,0.184,3.72870648942564e-33,"0","Cyp26a1"
5.64136941907993e-37,0.36097143669806,0.862,0.786,1.04748947373476e-32,"0","Nr2f2"
3.31068568862641e-36,0.5666410469963,0.512,0.382,6.14728118664151e-32,"0","Fli1"
7.95973611237238e-36,0.422234402245943,0.609,0.479,1.4779638013453e-31,"0","Ung"
1.0310487008181e-35,0.560295976583287,0.542,0.418,1.91445122767905e-31,"0","Tmem119"
1.33011954453869e-35,1.02319621111835,0.267,0.164,2.46976597029944e-31,"0","Gpc4"
1.89516954437381e-34,0.505261598433253,0.595,0.506,3.51895080999329e-30,"0","Cdt1"
2.82170802930781e-34,0.375319232340925,0.865,0.789,5.23934746881875e-30,"0","Mfap4"
6.49569597731353e-34,0.600820915944356,0.544,0.452,1.20612082906758e-29,"0","Gm13305"
1.48080635169133e-33,0.266397162807025,0.91,0.845,2.74956123382046e-29,"0","Cited2"
3.02915453584817e-33,0.320360187245148,0.905,0.893,5.62453414216287e-29,"0","Ier2"
6.5823303785717e-33,0.9999797887007,0.307,0.205,1.22220710469319e-28,"0","Ntrk2"
7.1512027120899e-33,0.8016492462671,0.408,0.307,1.32783531958085e-28,"0","Pik3r1"
2.84200870367747e-32,0.710236968488093,0.418,0.316,5.27704176098833e-28,"0","Rab3il1"
4.04443044235235e-32,0.415225360585324,0.697,0.613,7.50969844535984e-28,"0","Oaf"
5.50921109403394e-32,0.359838141081819,0.814,0.754,1.02295031594022e-27,"0","Tpm2"
9.51297904194911e-32,0.650779777105761,0.64,0.578,1.76636994850911e-27,"0","Plpp3"
1.13808480124024e-31,0.485442499902404,0.761,0.733,2.11319585894289e-27,"0","Ccnb2"
3.10774082144854e-31,0.518378108719067,0.611,0.545,5.77045315726565e-27,"0","Smarca2"
3.11341519349053e-31,0.451239611682927,0.633,0.511,5.78098933127323e-27,"0","Nr2f1"
4.38998280315598e-29,0.343393678134008,0.706,0.612,8.15132006890003e-25,"0","Col2a1"
2.45163522684159e-28,0.599737962157591,0.478,0.391,4.55219628919947e-24,"0","Cd302"
4.62844802109707e-28,0.628726614564665,0.427,0.328,8.59410228557304e-24,"0","Dact1"
1.32103262040203e-27,0.276191617308005,0.935,0.926,2.45289336956248e-23,"0","Ptms"
6.89714153615014e-25,0.315862613900195,0.845,0.838,1.28066124043236e-20,"0","Mcm7"
1.12002370271194e-24,0.347322616700619,0.701,0.604,2.07966001119553e-20,"0","Fam212a"
4.43050412301935e-24,0.602452540094723,0.472,0.405,8.22656005562234e-20,"0","Snhg18"
1.07065949561115e-23,0.377769337929853,0.914,0.909,1.98800055145078e-19,"0","Gpx3"
1.12066406810627e-23,0.438380888935524,0.612,0.561,2.08084904165971e-19,"0","Rab13"
1.15646224294203e-23,0.48192186714675,0.575,0.515,2.14731909269475e-19,"0","Sept6"
6.16649622981067e-23,0.45923025309633,0.531,0.444,1.14499501995124e-18,"0","Hsd11b2"
4.75502464247276e-22,0.571207424794031,0.369,0.28,8.82912975614342e-18,"0","Ets1"
1.39925322643857e-21,0.410940005761074,0.52,0.421,2.59813339085114e-17,"0","Parm1"
1.84680931917044e-21,0.309710856092375,0.759,0.743,3.42915554383568e-17,"0","Mcm3"
5.38301865398022e-21,0.724584335794157,0.279,0.199,9.99518903671047e-17,"0","Foxd2"
1.16296462500423e-20,0.523215091725562,0.513,0.453,2.15939271570786e-16,"0","Mxd4"
2.0588834608724e-20,0.498366982410458,0.444,0.364,3.82293481014787e-16,"0","Crispld1"
5.13615394409717e-20,0.591596875001267,0.323,0.24,9.53681064339963e-16,"0","Ednra"
8.84668079316441e-20,0.504300258750219,0.539,0.481,1.64265168967477e-15,"0","Nop53"
9.33305930943601e-20,0.370393078300426,0.572,0.495,1.73296245257608e-15,"0","Clmp"
2.43841139445212e-19,0.252715689552879,0.86,0.861,4.5276422772187e-15,"0","Tmem50a"
2.90991730691562e-19,0.253173312941911,0.823,0.807,5.40313445548093e-15,"0","Arl6ip6"
3.0149593853609e-19,0.747988537208806,0.278,0.206,5.59817658673812e-15,"0","Chst2"
6.49620198660172e-19,0.498502903230352,0.416,0.336,1.20621478487221e-14,"0","Pdgfra"
1.38494059597928e-18,0.267783862117938,0.803,0.794,2.57155769861433e-14,"0","Mcm5"
2.45267812017365e-18,0.65035455859986,0.352,0.28,4.55413273353843e-14,"0","Ldb2"
3.87668651224019e-18,0.342595058674835,0.901,0.871,7.19823151592759e-14,"0","Ptn"
8.85165777993451e-18,0.280728314234333,0.587,0.529,1.64357581657824e-13,"0","Rack1"
1.32219139831746e-17,0.509261255134077,0.397,0.325,2.45504498839585e-13,"0","Cd248"
4.23954252278738e-17,0.317938025326033,0.487,0.403,7.87198255631161e-13,"0","Mogat2"
1.8627113818487e-16,0.381291135665352,0.534,0.483,3.45868249381667e-12,"0","Lxn"
8.73419592168823e-16,0.522271824028658,0.395,0.328,1.62176549873907e-11,"0","Cdc6"
1.03375667839649e-15,0.43536830017664,0.443,0.378,1.9194794004466e-11,"0","Ptgis"
1.37967202784612e-15,0.432706155483337,0.617,0.588,2.56177502130468e-11,"0","Pdcd4"
1.58407826227358e-15,0.656083565615178,0.285,0.219,2.94131651738958e-11,"0","Spry1"
2.92217026986536e-15,0.270941503553516,0.747,0.759,5.42588575708601e-11,"0","Rfc3"
3.42765901185092e-15,0.275175666314726,0.83,0.832,6.36447725320478e-11,"0","Rpl10-ps3"
8.32971917694901e-15,0.518696967327585,0.438,0.383,1.54666225677589e-10,"0","Zeb2"
9.14560805934221e-15,0.276986088827489,0.726,0.726,1.69815650445866e-10,"0","Map2k1"
9.74027048094383e-15,0.491151238730388,0.421,0.362,1.80857342290165e-10,"0","Mn1"
1.31945031126077e-14,0.389835645117545,0.585,0.562,2.44995533794899e-10,"0","Casp6"
1.48462094991464e-14,0.5602671578858,0.328,0.265,2.7566441798015e-10,"0","Vegfc"
1.68423797385336e-14,0.289455260494316,0.683,0.661,3.12729306985092e-10,"0","Fkbp9"
3.87282742029056e-14,0.317226664811447,0.473,0.387,7.19106595399551e-10,"0","Fst"
3.7888906083697e-13,0.296597418423514,0.641,0.622,7.03521208162086e-09,"0","2610524H06Rik"
4.78238335910707e-13,0.317356167900317,0.625,0.615,8.87992942119e-09,"0","Casp8ap2"
1.1333024897659e-12,0.398393260443553,0.464,0.42,2.10431606299733e-08,"0","Capn2"
1.87027442938522e-12,0.272173760945933,0.697,0.696,3.47272556048248e-08,"0","Mcm4"
5.59956397099645e-12,0.586722018673417,0.257,0.202,1.03972703813462e-07,"0","Ebf3"
5.8861222968348e-12,0.27838563693413,0.666,0.657,1.09293518807629e-07,"0","Jam3"
2.41040510659027e-11,0.334838261418459,0.559,0.531,4.47564020191681e-07,"0","Vkorc1"
3.4000943002025e-11,0.256711964007912,0.704,0.707,6.31329509661601e-07,"0","Mcm2"
9.2142847073297e-11,0.289415635407447,0.642,0.633,1.71090838445698e-06,"0","Igbp1"
1.51076761750619e-10,0.3246361057833,0.607,0.599,2.8051933121855e-06,"0","Qars"
1.6981126922227e-10,0.379917963667254,0.427,0.382,3.15305564691911e-06,"0","Foxc1"
2.36961508177205e-10,0.426554850082195,0.409,0.362,4.39990128383434e-06,"0","Il11ra1"
2.83358316748639e-10,0.619857313374605,0.297,0.258,5.26139722538872e-06,"0","Fkbp7"
3.56547481453515e-10,0.25753296767974,0.552,0.497,6.62037363562886e-06,"0","Twist2"
1.78002512650514e-09,0.27674710708309,0.638,0.635,3.30515065489474e-05,"0","Praf2"
1.82757154215525e-09,0.264007573131673,0.65,0.663,3.39343483947386e-05,"0","Eci2"
1.98758657478042e-09,0.504334526791241,0.283,0.236,3.69055075205228e-05,"0","Foxo1"
2.49597865086768e-09,0.329427009359076,0.54,0.532,4.63453315893111e-05,"0","B230118H07Rik"
2.77225080062205e-09,0.351901144017312,0.333,0.282,5.14751528659502e-05,"0","Mecom"
3.57747782264239e-09,0.271652926738409,0.584,0.566,6.64266082108239e-05,"0","Cmtm3"
3.69668604721389e-09,0.356911471364094,0.429,0.394,6.86400665246676e-05,"0","Mmp2"
3.76346735122045e-09,0.480107939154956,0.261,0.213,6.98800617774613e-05,"0","Sncaip"
4.7370988465947e-09,0.35507027781845,0.488,0.465,8.79584513835704e-05,"0","Copz2"
9.37204995730467e-09,0.486371845571204,0.312,0.272,0.000174020223607233,"0","Cnrip1"
9.47964044246777e-09,0.40572386867681,0.34,0.292,0.000176017963735742,"0","S1pr3"
9.57806067406182e-09,0.334051711441484,0.45,0.415,0.00017784543059598,"0","Lima1"
4.04781372468845e-08,0.375756297114904,0.462,0.445,0.000751598052400151,"0","Ypel3"
4.11976591837819e-08,0.285894909650405,0.514,0.471,0.000764958135724462,"0","Col1a2"
8.59502326964578e-08,0.308147440276235,0.524,0.515,0.00159592392070783,"0","Aldh2"
1.05453688219245e-07,0.26990610063093,0.534,0.494,0.00195806408285495,"0","Gm11361"
1.50979718735075e-07,0.48283663323473,0.309,0.276,0.00280339141747287,"0","Gas2"
1.87717221348968e-07,0.416316633204111,0.434,0.409,0.00348553336600763,"0","Ddit4"
2.7208226275668e-07,0.335731549099261,0.438,0.418,0.00505202345486603,"0","Acot13"
8.86132174512126e-07,0.373631010370332,0.37,0.345,0.0164537022163412,"0","Gt(ROSA)26Sor"
3.64589018611568e-06,0.361441862727172,0.355,0.327,0.067696888975796,"0","Col5a2"
3.86266954759179e-06,0.289970955380116,0.471,0.463,0.0717220481596843,"0","Fndc3c1"
5.25365353621124e-06,0.296979387843843,0.448,0.43,0.0975498388603702,"0","Fkbp10"
6.22191324211013e-06,0.282271865779448,0.543,0.545,0.115528485079501,"0","Ech1"
6.23589486507842e-06,0.362028368384312,0.407,0.384,0.115788095854776,"0","Naxe"
6.53582992241182e-06,0.36000992920968,0.295,0.265,0.121357289999343,"0","Timp1"
6.89535604220794e-06,0.411429137575944,0.289,0.26,0.128032970991717,"0","2810001G20Rik"
7.84609048597477e-06,0.317898672021611,0.421,0.393,0.14568620814358,"0","Eef1akmt1"
1.27730065423512e-05,0.277480616379839,0.366,0.331,0.237169185478378,"0","Col23a1"
1.4532449813016e-05,0.332802934966566,0.422,0.397,0.269838528128081,"0","Cenps"
1.87118254413747e-05,0.386151928951153,0.309,0.285,0.347441174795445,"0","Nfatc4"
9.80787784981479e-05,0.252269619037276,0.461,0.46,1,"0","Mfsd10"
0.000123956441585956,0.293725373401976,0.419,0.416,1,"0","2700038G22Rik"
0.000132191809123922,0.375751572055225,0.317,0.293,1,"0","Epop"
0.000153894976236997,0.302166502904475,0.397,0.392,1,"0","Hmgcl"
0.000162930224094169,0.323906330377419,0.401,0.379,1,"0","Vps28"
0.000177145144798966,0.454616440920656,0.265,0.246,1,"0","Zbtb1"
0.000285615922978783,0.289601767601963,0.401,0.398,1,"0","Lztfl1"
0.000292064081672347,0.373756655281139,0.302,0.28,1,"0","Gsdme"
0.000306493731758584,0.250695113103101,0.537,0.553,1,"0","Acads"
0.000309881728315096,0.376087343260981,0.312,0.295,1,"0","Rab26os"
0.00032298052267733,0.321604814482247,0.373,0.368,1,"0","Grn"
0.000497371039890576,0.369800552855434,0.317,0.302,1,"0","Rai14"
0.000669037398127632,0.362710156066746,0.259,0.24,1,"0","Lrig3"
0.000690184872778662,0.27774222454901,0.272,0.25,1,"0","Gpsm3"
0.000696586818113728,0.274093577368219,0.352,0.33,1,"0","Gatd1"
0.000825054595916302,0.35986080316677,0.289,0.276,1,"0","Acot1"
0.000854537077156264,0.288472837562785,0.324,0.311,1,"0","Dse"
0.000903654786061885,0.350811234980907,0.3,0.288,1,"0","Dync2li1"
0.000922128018421776,0.290156242304717,0.431,0.435,1,"0","Snhg20"
0.000969699755800964,0.411459603576523,0.285,0.273,1,"0","Ap4m1"
0.00115336708675877,0.294522837304502,0.414,0.401,1,"0","Rpl36a-ps1"
0.00118016645907449,0.325604359880823,0.271,0.252,1,"0","Angptl4"
0.00122704441148335,0.288939541129126,0.406,0.407,1,"0","Timeless"
0.00129893954205046,0.338251676505465,0.277,0.262,1,"0","Chpf"
0.00167529003429146,0.294668132556922,0.297,0.283,1,"0","Pus3"
0.00266511324805181,0.272446528204299,0.342,0.336,1,"0","Clip3"
0.00280486375050346,0.263285523530562,0.428,0.44,1,"0","Gstp1"
0.00328219315689601,0.315375908036571,0.324,0.317,1,"0","Rgs3"
0.00396093831893933,0.271288212867332,0.415,0.426,1,"0","Ccdc28b"
0.00412381619442153,0.270787826407013,0.353,0.35,1,"0","Slc50a1"
0.00473485758917133,0.358153073325587,0.297,0.292,1,"0","Dnajb4"
0.00485725107576747,0.255338857072696,0.408,0.418,1,"0","Blcap"
0.00609123567053777,0.308607128418578,0.266,0.255,1,"0","Gpc1"
0.00769019289436178,0.331567641889821,0.281,0.276,1,"0","Hscb"
0.00915208540591498,0.331373427157662,0.289,0.287,1,"0","5430416N02Rik"
0,2.57876217769178,0.894,0.278,0,"1","Lum"
0,2.19937508960208,0.894,0.315,0,"1","Foxd1"
0,2.83196724479485,0.789,0.255,0,"1","Sparcl1"
0,2.94305966692739,0.726,0.218,0,"1","Cthrc1"
0,1.79388190781099,0.802,0.323,0,"1","Foxc2"
0,2.28119947036823,0.572,0.161,0,"1","Nbl1"
0,2.07160724810125,0.591,0.182,0,"1","Tbx18"
0,1.825355106579,0.744,0.338,0,"1","Flrt2"
0,1.57205058342579,0.989,0.612,0,"1","Col3a1"
0,2.25511524918427,0.513,0.144,0,"1","Slc1a3"
0,1.49903662478387,0.892,0.544,0,"1","Pdlim4"
0,3.97751321079276,0.355,0.047,0,"1","Vtn"
0,4.57802722032922,0.302,0.022,0,"1","Cbr3"
0,1.15767061847281,0.949,0.676,0,"1","Vcan"
0,1.42238588635157,0.987,0.862,0,"1","Lgals1"
0,1.11287260108375,0.998,0.953,0,"1","Cd63"
0,0.752580688088791,0.999,0.985,0,"1","Marcks"
5.42746329178501e-316,1.32537200369183,0.87,0.478,1.00777138401864e-311,"1","Col9a1"
2.63603877218901e-284,2.34402101683109,0.398,0.092,4.89459679220055e-280,"1","Rspo3"
1.19464269975871e-275,1.05621045131466,0.926,0.656,2.21821256491197e-271,"1","Cdh11"
1.15324928820569e-271,3.569435158736,0.252,0.033,2.14135327834032e-267,"1","Foxl1"
1.77682116483563e-271,2.70895851638439,0.352,0.076,3.2992015388668e-267,"1","Foxf2"
1.90664891668488e-264,1.51183671932514,0.756,0.421,3.54026570850048e-260,"1","Gpx7"
2.33556352518184e-255,2.88073380073383,0.297,0.054,4.33667435355764e-251,"1","Pltp"
7.24458691462216e-255,1.13888902372741,0.956,0.815,1.34517489830704e-250,"1","Cnn2"
2.36237516037675e-249,1.39107874160687,0.78,0.45,4.38645819778754e-245,"1","Sox9"
1.60262831282789e-245,1.46154896639823,0.703,0.362,2.97576025125882e-241,"1","Klf6"
2.08649280784994e-244,0.640472212622173,1,0.992,3.87419984561577e-240,"1","Tuba1a"
